AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7829,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,13,1140
7830,POLICE OFFICER                     ,M,W ,40 - 49,48,6TH DIVISION                                           ,1ST PLATOON                                            ,13,1141
7831,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,1ST PLATOON                                            ,13,1142
7833,POLICE SERGEANT                    ,M,W ,40 - 49,42,4TH DIVISION                                           ,1ST PLATOON                                            ,13,1143
7834,POLICE OFFICER                     ,M,W ,40 - 49,41,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,13,1144
7835,POLICE LIEUTENANT                  ,M,H ,30 - 39,37,WELLNESS UNIT                                          ,STAFF                                                  ,13,1145
7836,POLICE OFFICER                     ,M,W ,40 - 49,49,4TH DIVISION                                           ,3RD PLATOON                                            ,13,1146
7838,POLICE OFFICER                     ,M,W ,30 - 39,38,7TH DIVISION                                           ,1ST PLATOON                                            ,13,1147
7839,POLICE SERGEANT                    ,M,B ,40 - 49,47,2ND DIVISION                                           ,2ND PLATOON                                            ,13,1148
7841,POLICE SERGEANT                    ,M,W ,40 - 49,49,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,13,1149
7843,POLICE OFFICER                     ,M,W ,40 - 49,43,2ND DIVISION                                           ,STAFF                                                  ,13,1150
7844,POLICE SERGEANT                    ,M,W ,30 - 39,39,CIS HOMICIDE                                           ,SQUAD 1                                                ,13,1151
7845,POLICE SERGEANT                    ,M,W ,40 - 49,44,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,13,1152
7846,POLICE SERGEANT                    ,F,W ,40 - 49,46,TRAINING                                               ,BASIC ACADEMY                                          ,13,1153
7768,POLICE SERGEANT                    ,M,W ,40 - 49,42,3RD DIVISION                                           ,2ND PLATOON                                            ,14,1154
7881,POLICE OFFICER                     ,M,H ,50 - 59,58,1ST DIVISION                                           ,BIKE PLATOON                                           ,13,1155
7854,POLICE OFFICER                     ,F,W ,40 - 49,44,6TH DIVISION                                           ,DETECTIVES                                             ,13,1156
7883,POLICE OFFICER                     ,M,W ,40 - 49,44,3RD DIVISION                                           ,DETECTIVES                                             ,13,1157
7864,POLICE OFFICER                     ,M,U ,30 - 39,35,6TH DIVISION                                           ,1ST PLATOON                                            ,13,1158
7851,POLICE SERGEANT                    ,M,W ,40 - 49,47,6TH DIVISION                                           ,1ST PLATOON                                            ,13,1159
7850,POLICE OFFICER                     ,M,W ,30 - 39,36,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,13,1160
7866,POLICE LIEUTENANT                  ,M,B ,30 - 39,37,4TH DIVISION                                           ,STAFF                                                  ,13,1161
7882,POLICE SERGEANT                    ,M,W ,30 - 39,38,ACCOUNTABILITY & IMPROVEMENT BUREAU                    ,STAFF                                                  ,13,1162
7863,POLICE OFFICER                     ,M,H ,40 - 49,40,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,13,1163
7862,POLICE OFFICER                     ,M,W ,50 - 59,52,1ST DIVISION                                           ,BIKE PLATOON                                           ,13,1164
7876,POLICE OFFICER                     ,M,B ,50 - 59,55,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,13,1165
7869,POLICE OFFICER                     ,M,B ,30 - 39,38,SUPPORT BUREAU                                         ,STAFF                                                  ,13,1166
7861,POLICE OFFICER                     ,F,W ,40 - 49,41,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,13,1167
7860,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,13,1168
